month,active_users,sum_active_users,canceled_users,number_ended_users,churn_rate,active_churn_rate,passive_churn_rate,subscription_type
2020-01,3,3,0,NULL,NULL,0.0000,NULL,2
2020-02,10,13,1,NULL,NULL,7.6923,NULL,2
2020-03,15,28,1,NULL,NULL,3.5714,NULL,2
2020-04,369,397,35,NULL,NULL,8.8161,NULL,2
2020-05,36,433,9,NULL,NULL,2.0785,NULL,2
2020-06,34,467,5,NULL,NULL,1.0707,NULL,2
2020-07,110,577,8,NULL,NULL,1.3865,NULL,0
2020-08,26,603,2,NULL,NULL,0.3317,NULL,2
2020-09,81,684,3,NULL,NULL,0.4386,NULL,2
2020-10,47,731,2,NULL,NULL,0.2736,NULL,2
2020-11,160,891,8,NULL,NULL,0.8979,NULL,2
2020-12,117,1008,10,NULL,NULL,0.9921,NULL,2
2021-01,218,1226,94,1,7.7488,7.6672,0.0816,0
2021-02,102,1328,145,66,15.8886,10.9187,4.9699,0
2021-03,185,1513,390,45,28.7508,25.7766,2.9742,2
2021-04,83,1596,310,84,24.6867,19.4236,5.2632,0
2021-05,159,1755,128,99,12.9345,7.2934,5.6410,2
2021-06,122,1877,161,35,10.4422,8.5775,1.8647,2
2021-07,163,2040,128,53,8.8725,6.2745,2.5980,2
2021-08,128,2168,179,30,9.6402,8.2565,1.3838,0
2021-09,139,2307,164,36,8.6693,7.1088,1.5605,2
2021-10,69,2376,115,81,8.2492,4.8401,3.4091,2
2021-11,665,3041,173,43,7.1029,5.6889,1.4140,2
2021-12,201,3242,162,138,9.2535,4.9969,4.2566,2
2022-01,262,3504,182,89,7.7340,5.1941,2.5400,2
2022-02,169,3673,139,64,5.5268,3.7844,1.7424,0
2022-03,298,3971,178,85,6.6230,4.4825,2.1405,0
2022-04,159,4130,135,99,5.6659,3.2688,2.3971,2
2022-05,251,4381,136,107,5.5467,3.1043,2.4424,0
2022-06,210,4591,152,122,5.9682,3.3108,2.6574,0
2022-07,278,4869,159,89,5.0934,3.2656,1.8279,2
2022-08,164,5033,134,99,4.6294,2.6624,1.9670,2
2022-09,285,5318,177,81,4.8514,3.3283,1.5231,2
2022-10,165,5483,158,79,4.3225,2.8816,1.4408,2
